num_agents,world_size,obs_density,el_mean,el_std,mr_mean,mr_std,co_mean,co_std,sr_mean,distance,block,congestion
"10","15","0","18.04","3.7494532934815976","10","0","0","0","1","0.1","0","0"
"10","15","0.15","19.33","3.23436237920243","10","0","0.00007919254658385093","0.0005570596716671604","1","0.1","0","0"
"10","15","0.3","26.29","6.493527546719117","10","0","0.001544120320194174","0.004824340745417617","1","0.1","0","0"
"20","15","0","21.45","3.713152299596665","20","0","0.00006923076923076924","0.0005312149744806015","1","0.1","0","0"
"20","15","0.15","23.87","8.76316723565173","20","0","0.0008503593471336313","0.001779026946271335","1","0.1","0","0"
"20","15","0.3","60.06","66.81389376469538","19.81","0.6884039511798287","0.006693465327210909","0.009609567056464301","0.9","0.1","0","0"
"30","15","0","23.37","2.9653161720126913","30","0","0.00016570375964485362","0.0004970561233112705","1","0.1","0","0"
"30","15","0.15","36.58","39.215604037168674","29.98","0.13999999999999999","0.0025660462066110137","0.0030627097154370467","0.98","0.1","0","0"
"30","15","0.3","74.74","66.45669567470233","29.86","0.46946778377222015","0.014293021308973627","0.016285389038496217","0.9","0.1","0","0"
"40","15","0","24.42","2.6951066769239396","40","0","0.0007728613206717181","0.0014208960793162413","1","0.1","0","0"
"40","15","0.15","46.48","46.038566441625875","39.95","0.25980762113533157","0.005955381677076752","0.006434557299323362","0.96","0.1","0","0"
"40","15","0.3","149.42","94.00991224333741","38.44","3.998299638596387","0.0366817742086765","0.049251890102855564","0.59","0.1","0","0"
"10","15","0","18.68","3.313246142380611","10","0","0","0","1","1.2","0","0"
"10","15","0.15","23.51","26.17307586050979","9.98","0.19899748742132398","0.0009380696075729","0.005737728781506974","0.99","1.2","0","0"
"10","15","0.3","31.4","32.97756813350554","9.98","0.13999999999999999","0.0020819006694951323","0.007958082313685009","0.98","1.2","0","0"
"20","15","0","21.78","3.235985166838686","20","0","0.00003398617511520738","0.00023821684063316732","1","1.2","0","0"
"20","15","0.15","24.39","7.504525301443123","20","0","0.0009237130208218289","0.002228118988118955","1","1.2","0","0"
"20","15","0.3","55.11","52.623168851751984","19.96","0.19595917942265423","0.005444779926170362","0.0068739476669426","0.96","1.2","0","0"
"30","15","0","24.07","4.4771754488739886","30","0","0.0003410075340151028","0.0011178072275932732","1","1.2","0","0"
"30","15","0.15","50.69","56.21951529495786","29.91","0.40236799077461416","0.003019598130819614","0.003827175934958582","0.95","1.2","0","0"
"30","15","0.3","104.9","79.6266915047963","29.57","2.1459496732216254","0.016994728909596822","0.035400387508910926","0.83","1.2","0","0"
"40","15","0","28.35","23.69150691703675","39.99","0.099498743710662","0.0007085953762230704","0.001061125061529865","0.99","1.2","0","0"
"40","15","0.15","57.87","49.28298996611305","39.95","0.25980762113533157","0.006762011372739172","0.006781984553718344","0.96","1.2","0","0"
"40","15","0.3","183.67","78.73030610889303","38.87","2.0719797296305775","0.026679613695129306","0.027614280305646614","0.54","1.2","0","0"
"10","15","0","18.84","2.886936092122581","10","0","0","0","1","0.9","0","0"
"10","15","0.15","19.46","3.553646015010499","10","0","0.00018620925072537975","0.0010756455829327072","1","0.9","0","0"
"10","15","0.3","28.2","10.438390680559912","10","0","0.0017410185085529064","0.0033926671714185996","1","0.9","0","0"
"20","15","0","21.61","4.947514527517832","20","0","0.00005050505050505051","0.0003553345272593508","1","0.9","0","0"
"20","15","0.15","25.46","7.4329267452329955","20","0","0.0012758234740602118","0.0021816724007509202","1","0.9","0","0"
"20","15","0.3","42.97","27.978725846614246","19.99","0.09949874371066197","0.008647915363755681","0.01126056201239986","0.99","0.9","0","0"
"30","15","0","23.93","3.347401977653715","30","0","0.0002585135516657256","0.0007653856223333168","1","0.9","0","0"
"30","15","0.15","34.28","21.506780326213406","30","0","0.003589555354993482","0.004140609308659653","1","0.9","0","0"
"30","15","0.3","91.75","72.8721311613706","29.77","0.7190966555338719","0.019059032688921666","0.019103022875164195","0.87","0.9","0","0"
"40","15","0","27.57","9.882565456398456","40","0","0.0006126598799114384","0.0009142895223235523","1","0.9","0","0"
"40","15","0.15","46.19","32.671913014085966","39.99","0.09949874371066202","0.007571175816709039","0.007460997713813522","0.99","0.9","0","0"
"40","15","0.3","131.26","77.86547630368673","39.4","1.9748417658131503","0.03711595238702126","0.03876545110563935","0.79","0.9","0","0"
"10","15","0","21.04","4.2093229859444135","10","0","0","0","1","-1.2","0","0"
"10","15","0.15","22.72","5.284089325512959","10","0","0","0","1","-1.2","0","0"
"10","15","0.3","33.25","16.824015572983757","10","0","0.0011840064514958518","0.0028387266796101956","1","-1.2","0","0"
"20","15","0","69.78","81.92528059152437","19.87","0.3363034344160047","0.00009978632478632478","0.0006310046855729284","0.87","-1.2","0","0"
"20","15","0.15","111.97","99.6804348907046","19.67","0.5666568626602875","0.0007055475676212535","0.0017451691992759718","0.71","-1.2","0","0"
"20","15","0.3","160.69","101.62604931807593","19.26","1.0061808982484215","0.004248508700264361","0.00696726611921814","0.51","-1.2","0","0"
"30","15","0","105.37","96.55616552038508","29.75","0.4330127018922193","0.00012063920392589576","0.00039630673044787777","0.75","-1.2","0","0"
"30","15","0.15","157.6","102.20606635616107","29.34","0.8151073548925932","0.0011872398051053995","0.00151806387286787","0.51","-1.2","0","0"
"30","15","0.3","220.96","74.18826322269582","28.17","1.7149635564641015","0.00739136379256195","0.0076754658515503634","0.2","-1.2","0","0"
"40","15","0","149.95","102.09959598352974","39.47","0.6550572494064927","0.00032094960954358635","0.0006108874390192696","0.55","-1.2","0","0"
"40","15","0.15","209.03","84.33130557509472","38.75","1.0428326807307104","0.0023017246871546593","0.0021573182128369274","0.25","-1.2","0","0"
"40","15","0.3","248.95","34.91629275853895","35.95","2.9576172842340505","0.017502011196223546","0.02764205995891418","0.04","-1.2","0","0"
"10","15","0","18.29","3.017598382820352","10","0","0.00005555555555555556","0.0005527707983925667","1","-0.9","0","0"
"10","15","0.15","20.01","3.8196727608526877","10","0","0.00011658456486042693","0.0008299335308854053","1","-0.9","0","0"
"10","15","0.3","29.45","24.46482168338858","9.99","0.09949874371066199","0.0025806230245753047","0.005494145902699626","0.99","-0.9","0","0"
"20","15","0","20.88","3.1121696611849425","20","0","0.0001778198653198653","0.0010704326351846658","1","-0.9","0","0"
"20","15","0.15","27.14","24.651174414214022","19.99","0.09949874371066199","0.0011501965709467474","0.002591263861276984","0.99","-0.9","0","0"
"20","15","0.3","59.28","58.93302639437414","19.91","0.3766961640367473","0.010282307193309883","0.012155503455745766","0.93","-0.9","0","0"
"30","15","0","23.39","3.862369738903825","30","0","0.00019693576636599077","0.0006234321826085714","1","-0.9","0","0"
"30","15","0.15","29.53","8.936951381763247","30","0","0.002912456584284624","0.005615886013247646","1","-0.9","0","0"
"30","15","0.3","100.29","81.74145765766599","29.54","1.5900943368240765","0.02198227559523471","0.030977212010836096","0.8","-0.9","0","0"
"40","15","0","26.1","4.924428900898052","40","0","0.0006859093795963602","0.0009643286278780643","1","-0.9","0","0"
"40","15","0.15","48.11","39.943684106501735","39.98","0.14","0.007590510845243875","0.009386076352859159","0.98","-0.9","0","0"
"40","15","0.3","148.68","87.3592445022277","38.76","2.867472754883645","0.04391545350708036","0.04130504556137983","0.69","-0.9","0","0"
"10","15","0","18.72","3.5835178247080055","10","0","0","0","1","0.6","0","0"
"10","15","0.15","22.76","23.829863616898862","9.99","0.09949874371066199","0.0004189678157703873","0.0021172857530593653","0.99","0.6","0","0"
"10","15","0.3","37.31","40.29111440503973","9.97","0.17058722109231986","0.0014033965471074825","0.0029868978278020423","0.97","0.6","0","0"
"20","15","0","21.65","3.2011716605018234","20","0","0.00011360147861292025","0.0006231727224718879","1","0.6","0","0"
"20","15","0.15","25.77","5.959622471264434","20","0","0.0010741654618080588","0.0018977372950863072","1","0.6","0","0"
"20","15","0.3","70.11","69.1625469455832","19.83","0.5487257967327579","0.005472493826662851","0.006914636887943196","0.9","0.6","0","0"
"30","15","0","23.9","3.3837848631377265","30","0","0.0001522629527726979","0.0005161338689648387","1","0.6","0","0"
"30","15","0.15","32.85","14.779292946551942","30","0","0.0024056588209677163","0.0027265729605214246","1","0.6","0","0"
"30","15","0.3","120.43","88.1364005391643","29.25","1.5835087622113115","0.011505329080887328","0.00894065699286589","0.73","0.6","0","0"
"40","15","0","28.51","5.584791849299309","40","0","0.0006534590082425827","0.0010624703721067495","1","0.6","0","0"
"40","15","0.15","50.67","39.32939231668854","39.98","0.14000000000000004","0.005947290247007206","0.005353902079633926","0.98","0.6","0","0"
"40","15","0.3","184.19","81.39062538155116","38.17","2.807329692073947","0.019925026143431546","0.02144807960641669","0.49","0.6","0","0"
"10","15","0","19.23","3.8232316173624636","10","0","0","0","1","0","0","0"
"10","15","0.15","20.43","3.314377769657527","10","0","0.00007692307692307693","0.000765374951620477","1","0","0","0"
"10","15","0.3","33.82","34.457910557664405","9.99","0.09949874371066199","0.0033523769348678626","0.00824271840123809","0.99","0","0","0"
"20","15","0","21.86","3.322709737548557","20","0","0.00004483430799220273","0.00031864637955146855","1","0","0","0"
"20","15","0.15","26.28","9.096240981856186","20","0","0.001335683464193243","0.0024927375351290106","1","0","0","0"
"20","15","0.3","46.06","26.540467215179163","20","0","0.008439755703852313","0.01535468001187011","1","0","0","0"
"30","15","0","24.88","3.6035538014576667","30","0","0.0001479390480363784","0.0004886123402583337","1","0","0","0"
"30","15","0.15","33.31","26.040620192307248","29.99","0.09949874371066199","0.0028171020102413726","0.00338880519214937","0.99","0","0","0"
"30","15","0.3","88.11","74.8991181523521","29.76","0.68","0.014533394529159834","0.013932483917149225","0.86","0","0","0"
"40","15","0","28.54","11.780000000000001","40","0","0.0007054069239027427","0.0011725425201874406","1","0","0","0"
"40","15","0.15","60.47","61.70809590321192","39.9","0.3605551275463989","0.0061992470899523144","0.006611242746546081","0.92","0","0","0"
