num_agents,world_size,obs_density,el_mean,el_std,mr_mean,mr_std,co_mean,co_std,sr_mean,distance,block,congestion
20,15,0,21.8,4.126,20,0,0,0,1,0.1,0.75,0
20,15,0.15,30.98,32.664,19.98,0.14,0.001,0.002,0.98,0.1,0.75,0
20,15,0.3,49.79,29.158,19.99,0.099,0.008,0.008,0.99,0.1,0.75,0
30,15,0,26.51,7.679,30,0,0,0.001,1,0.1,0.75,0
30,15,0.15,43.43,37.111,29.99,0.099,0.003,0.003,0.99,0.1,0.75,0
30,15,0.3,89.69,70.349,29.87,0.416,0.013,0.012,0.9,0.1,0.75,0
40,15,0,34.25,26.97,40,0,0.001,0.001,1,0.1,0.75,0
40,15,0.15,58.19,48.173,39.96,0.196,0.006,0.006,0.96,0.1,0.75,0
40,15,0.3,168.34,85.043,38.9,2.61,0.025,0.029,0.59,0.1,0.75,0
10,15,0,18.6,3.779,10,0,0,0,1,0.1,1,0
10,15,0.15,20.01,5.744,10,0,0,0.001,1,0.1,1,0
10,15,0.3,34.36,40.116,9.97,0.171,0.002,0.005,0.97,0.1,1,0
20,15,0,21.39,3.725,20,0,0,0,1,0.1,1,0
20,15,0.15,24.67,4.835,20,0,0.001,0.002,1,0.1,1,0
20,15,0.3,71.71,79.199,19.82,0.498,0.006,0.006,0.86,0.1,1,0
30,15,0,23.87,2.866,30,0,0,0.001,1,0.1,1,0
30,15,0.15,39.83,45.633,29.95,0.26,0.003,0.005,0.96,0.1,1,0
30,15,0.3,99.85,80.494,29.45,1.723,0.019,0.025,0.81,0.1,1,0
40,15,0,27.12,6.812,40,0,0,0.001,1,0.1,1,0
40,15,0.15,67.49,68.418,39.89,0.343,0.007,0.008,0.9,0.1,1,0
40,15,0.3,196.58,83.128,38.4,2.474,0.029,0.03,0.38,0.1,1,0
"10","15","0","18.04","3.7494532934815976","10","0","0","0","1","0.1","0","0"
"10","15","0.15","19.33","3.23436237920243","10","0","0.00007919254658385093","0.0005570596716671604","1","0.1","0","0"
"10","15","0.3","26.29","6.493527546719117","10","0","0.001544120320194174","0.004824340745417617","1","0.1","0","0"
"20","15","0","21.45","3.713152299596665","20","0","0.00006923076923076924","0.0005312149744806015","1","0.1","0","0"
"20","15","0.15","23.87","8.76316723565173","20","0","0.0008503593471336313","0.001779026946271335","1","0.1","0","0"
"20","15","0.3","60.06","66.81389376469538","19.81","0.6884039511798287","0.006693465327210909","0.009609567056464301","0.9","0.1","0","0"
"30","15","0","23.37","2.9653161720126913","30","0","0.00016570375964485362","0.0004970561233112705","1","0.1","0","0"
"30","15","0.15","36.58","39.215604037168674","29.98","0.13999999999999999","0.0025660462066110137","0.0030627097154370467","0.98","0.1","0","0"
"30","15","0.3","74.74","66.45669567470233","29.86","0.46946778377222015","0.014293021308973627","0.016285389038496217","0.9","0.1","0","0"
"40","15","0","24.42","2.6951066769239396","40","0","0.0007728613206717181","0.0014208960793162413","1","0.1","0","0"
"40","15","0.15","46.48","46.038566441625875","39.95","0.25980762113533157","0.005955381677076752","0.006434557299323362","0.96","0.1","0","0"
"40","15","0.3","149.42","94.00991224333741","38.44","3.998299638596387","0.0366817742086765","0.049251890102855564","0.59","0.1","0","0"
