num_agents,world_size,obs_density,el_mean,el_std,mr_mean,mr_std,co_mean,co_std,sr_mean,distance,block,congestion
"10","15","0","18.6","3.1016124838541645","10","0","0","0","1","0.1","0","-0.25"
"10","15","0.15","20.22","4.272189134390002","10","0","0.000794564599935444","0.004171506375126828","1","0.1","0","-0.25"
"10","15","0.3","33.29","38.97878782107007","9.98","0.13999999999999999","0.002969098425087673","0.006608223194175754","0.98","0.1","0","-0.25"
"20","15","0","20.7","2.9546573405388314","20","0","0.00002631578947368421","0.00026183879923858425","1","0.1","0","-0.25"
"20","15","0.15","24.6","6.330876716537766","20","0","0.0012092514962454863","0.0027542961158117277","1","0.1","0","-0.25"
"20","15","0.3","51.61","44.81068957291329","19.95","0.2598076211353317","0.00821923974325849","0.009374513131608453","0.96","0.1","0","-0.25"
"30","15","0","23.71","3.9250350316908","30","0","0.00024126908850616768","0.0005916582315582509","1","0.1","0","-0.25"
"30","15","0.15","36.16","28.162641921524337","29.99","0.09949874371066197","0.0028673329100167683","0.003214468721646154","0.99","0.1","0","-0.25"
"30","15","0.3","84.5","67.80582570841536","29.84","0.5782732917920383","0.01694109829852273","0.014791382928623885","0.9","0.1","0","-0.25"
"40","15","0","26.44","6.427005523570055","40","0","0.0005747958237381053","0.0010289286025312208","1","0.1","0","-0.25"
"40","15","0.15","56.29","57.236927765211156","39.92","0.33704599092705434","0.0055137356969631925","0.0046533995335585835","0.94","0.1","0","-0.25"
"40","15","0.3","181.39","82.8776079529326","38.94","1.7596590578859306","0.025904536598643765","0.02620537561810296","0.5","0.1","0","-0.25"
"10","15","0","18.89","3.557794260493431","10","0","0","0","1","0.1","0","-1"
"10","15","0.15","20.49","4.6893389726058405","10","0","0.00012857142857142858","0.0010008046649193152","1","0.1","0","-1"
"10","15","0.3","32.43","33.069095844912354","9.98","0.13999999999999999","0.0027506698629809327","0.008285353255411677","0.98","0.1","0","-1"
"20","15","0","22.02","3.466929477217557","20","0","0.00011506302521008404","0.0006862212128092507","1","0.1","0","-1"
